Voyage_Id,Source,Destination,Arrival
81711,Calabar,St. Vincent,1787
81712,New Calabar,Grenada,1789
81713,Bight of Biafra and Gulf of Guinea Islands,Kingston,1789
81714,Bonny,St. Vincent,1791
81715,Congo River,Grenada,1792
81716,Ambriz,Kingston,1793
81718,Bonny,Dominica,1785
81723,Cape Mount (Cape Grand Mount),Barbados,1797
81724,West Central Africa and St. Helena,St. Kitts,1798
81726,West Central Africa and St. Helena,Demerara,1800
81727,Africa.,Havana,1802
81728,Windward Coast (Nunez - Assini),Saint John (Antigua),1786
81729,Africa.,Barbados,1787
81730,Sierra Leone estuary,Kingston,1793
81731,Cape Coast Castle,Kingston,1783
81732,West Central Africa and St. Helena,Cumingsberg,1806
81733,Bight of Benin,St. Vincent,1798
81734,Anomabu,Demerara,1799
81735,Gold Coast,Suriname,1804
81736,Accra,Demerara,1805
81737,Gold Coast,Demerara,1806
81738,Accra,Demerara,1807
81739,"Lagos, Onim",Demerara,1806
81740,Loango,Cayenne,1807
81741,Ambriz,Barbados,1799
81743,Sierra Leone estuary,Bahamas,1801
81744,Gambia,Trinidad,1802
81745,Africa.,Tortola,1803
81746,West Central Africa and St. Helena,St. Lucia,1805
81753,Cameroons River,St. Lucia,1781
81755,Africa.,Barbados,1792
81756,Cape Mount (Cape Grand Mount),St. Kitts,1793
81757,Cape Mount (Cape Grand Mount),Demerara,1799
81758,Whydah,Demerara,1802
81759,Africa.,St. Croix,1799
81760,Cameroons,Jamaica,1792
81765,Cape Coast Castle,Tortola,1787
81766,Iles de Los,Grenada,1793
81770,West Central Africa and St. Helena,Grenada,1784
81775,Calabar,Trinidad,1803
81776,Calabar,Demerara,1804
81777,Africa.,Trinidad,1801
81778,West Central Africa and St. Helena,Havana,1802
81779,Africa.,Suriname,1804
81780,Congo River,Charleston,1806
81781,Windward Coast (Nunez - Assini),Barbados,1807
81782,Bonny,Kingston,1799
81783,West Central Africa and St. Helena,Kingston,1801
81784,Grenada Point,Grenada,1791
81785,Africa.,Grenada,1794
81788,Goree,Trinidad,1802
81789,Africa.,Trinidad,1803
81790,Africa.,Dominica,1806
81791,Bight of Biafra and Gulf of Guinea Islands,Dominica,1807
81793,Cameroons,Kingston,1806
82949,Africa.,St. Thomas,1804
82950,Africa.,Trinidad,1803
82957,Bight of Biafra and Gulf of Guinea Islands,Barbados,1794
82958,West Central Africa and St. Helena,Basse-Terre,1795
82960,Iles de Los,Demerara,1798
82961,West Central Africa and St. Helena,Grenada,1793
82962,Loango,Grenada,1794
82963,Bonny,Kingston,1796
82964,Gold Coast,Charleston,1784
82965,Bassa,Kingston,1785
82966,Bight of Benin,Barbados,1796
82968,Bight of Benin,Havana,1791
82969,Africa.,Kingston,1792
82970,New Calabar,???,1802
82971,Loango,Basse-Terre,1803
82973,Calabar,Grenada,1785
82974,Cameroons,Barbados,1786
82976,Sierra Leone estuary,Kingston,1782
82977,Windward Coast (Nunez - Assini),Tortola,1783
82978,Cameroons,Dominica,1788
82979,Calabar,Grenada,1790
82980,Calabar,Jamaica,1791
82981,Calabar,Montego Bay,1793
82982,West Central Africa and St. Helena,Kingston,1794
82989,Cabinda,Kingston,1799
82990,Porto Novo,Suriname,1801
82991,Congo River,St. Kitts,1802
82992,Congo River,Kingston,1803
82993,Cameroons,Demerara,1804
82994,Bight of Biafra and Gulf of Guinea Islands,St. Thomas,1806
82995,Bight of Biafra and Gulf of Guinea Islands,Demerara,1807
82996,West Central Africa and St. Helena,Kingston,1801
82997,Bonny,Kingston,1802
82998,Bonny,Kingston,1803
82999,Congo River,Kingston,1805
83662,Gabon,Basse-Terre,1806
