Source,Count
Brazil,9665
Africa,6808
Angola,6094
Ghana,5107
Multiple,3230
Jamaica,3580
Nigeria,2944
Cuba,2761
Haiti,2351
Barbados,2035
United States of America,1757
Benin,1659
Sierra Leone,1280
Suriname,784
Mozambique,725
Colombia,719
Saint Kitts and Nevis,712
France,705
Gambia,790
Antigua and Barbuda,600
Guinea-Bissau,617
Grenada,534
São Tomé and Príncipe,488
Americas,480
Senegal,594
Dominica,423
Guyana,407
Cabo Verde,377
US Virgin Islands,374
Liberia,550
Congo,592
Curaçao,300
Guinea,287
Mexico,265
Guadeloupe,255
Argentina,245
St. Vincent and the Grenadines,240
Gabon,262
Cameroon,253
Uruguay,136
Côte d'Ivoire,252
Trinidad and Tobago,105
French Guiana,102
Venezuela,96
Sint Eustatius (Caribbean Netherlands),94
Puerto Rico,92
Madagascar,86
Montserrat,82
Uncertain,80
Togo,84
"North, Central, & South America",70
British Virgin Islands,69
St. Helena,64
The Bahamas,60
Could refer to various locations,60
Dominican Rep.,80
South Africa,41
Saint Lucia,33
Panama,28
Portugal,27
Tanzania,32
Spain,23
Dem. Rep. Congo,297
Saint-Barthélemy,11
Multiple (Likely Caribbean),11
Sint Maarten,8
Unknown,7
Argentina & Uruguay,6
Equatorial Guinea,104
Belize,5
Could refer to several locations,5
Mauritius,5
Guatemala,4
Taiwan,3
Bermuda,2
Could refer to several places,2
Multiple possibilities,2
"Multiple (primarily Réunion, Mauritius)",2
,2
Mauritania,1
Peru,1
Honduras,5
Nicaragua,1
Martinique,1
United Kingdom,1
