Destination,Count
Bahia,4223
Rio de Janeiro,2887
Havana,1313
Barbados,2035
Pernambuco,1335
Jamaica,1712
Cuba,562
Kingston,1622
Americas,480
Cap Francais,1126
Saint John (Antigua),582
St. Kitts,568
Santiago de Cuba,219
Maranhao,390
Martinique,701
Cartagena,698
Charleston,811
Veracruz,260
Suriname,758
New Spain,249
Spanish Americas,153
St. Thomas,163
Dominica,423
Grenada,533
Port-au-Prince,359
Trinidad de Cuba,86
Buenos Aires,245
Curacao,300
"Rio de Janeiro, Sao Paulo, Santa Catarina",117
West Indies (colony unspecified),116
Freetown,455
Matanzas,71
"Spanish Circum-Caribbean,unspecified",136
Para,158
Montego Bay,144
Newcastle (Nevis),140
Leogane,251
Virginia,120
Saint-Domingue,140
York River,163
Montserrat,82
Basse-Terre,245
Demerara,283
New York,70
Montevideo,131
"Cuba, south coast",44
Rio de Janeiro province,94
St. Croix,117
Maryland,64
Cayes (Les),217
St. Vincent,240
Puerto Rico,88
Trinidad,101
Savannah,116
"Danish West Indies, colony unspecified",94
Bahia Honda,32
Cayenne,102
Cabanas,34
Cape of Good Hope,39
St. Eustatius,94
Saint-Marc,168
Campos,107
Macae,61
Rappahannock,62
"British Caribbean, colony unspecified",118
Sagua,31
Ponta Negro,28
San Domingo (a) Santo Domingo,43
Isla de Pinas,24
"French Caribbean, colony unspecified",68
Cardenas,35
Ilha Grande,51
Upper James River,72
La Guaira,38
"Hispaniola, unspecified",57
"Americas, region unspecified",70
Puerto Padre,20
Mariel,21
Bahamas,51
Boston,24
Sao Sebastiao,64
Essequibo,64
St. Helena,64
Berbice,56
Port Royal,30
Florida,17
Tortola,69
Zion Hill,60
Margarita,22
Taipu,14
Rhode Island,27
Cabo Frio,27
Paraiba,21
St. Lucia,33
Philadelphia,11
Portobelo,28
Caracas,18
Catuamo and Maria Farinha,11
Lisbon,24
"Cuba, west coast",13
Caribbean (colony unspecified),14
Annapolis,19
Petit-Goave,20
Rio de la Hacha,10
Santos,24
"Spanish Caribbean, unspecified",23
Savanna la Mar,18
Patuxent,19
Jacmel,11
Copacabana,5
South Carolina,13
New Orleans,20
Venezuela,12
Rio Sao Jeso,8
Rio de la Plata,6
Guanimar,9
Batabano,5
Banes,9
Port-de-Paix,19
Oxford,4
Mississippi,5
Colonia de Sacramento,4
La Balise,10
Lower James River,8
Liberia,8
Lucea (a) St. Lucea,9
Cabo de Buzios,7
"USA, location unspecified",9
South Potomac,12
"Dutch Guianas, colony unspecified",11
Biloxi,5
St. Maarten,8
Louisiana,9
Pensacola,4
Baia de Sepetiba,6
Paranagua,8
Mangaratiba,10
Paramaribo,14
Black River,9
North Potomac,7
Cadiz,13
Antigua,18
Luanda,6
Tobago,4
Santa Marta,11
San Juan de los Remedios,4
North Carolina,9
Guadeloupe,10
Eastern New Jersey,4
Canasi,5
British Leewards,3
Marica,9
Jeremie,6
St. Augustine,8
Ilha de Marambaia,5
Tenerife,3
Ubatuba,3
Parati,3
Ilha de Itamaric,4
Guatemala,4
Cumana,4
Baia de Botafogo,4
Fort Dauphin,3
Falmouth (Jam.),9
Martha Brae,8
Hampton,6
Beaufort,4
Cul-de-Sac,11
Key West,3
San Juan,4
Antonia,7
"Matanzas province, south",2
Trujillo,4
St. Barthelemy,9
Spanish Town,4
Rio Grande do Sul Province,5
Ocoa,4
Middletown,2
Londontowne,3
Hamilton (Bermuda),2
"Gustavia, St. Barthelemy",2
Georgia,3
Delaware River,2
Baracoa,2
Africa,4
???,7
Annotto Bay,2
New London,1
Mobile,1
"Magari, Manzanillo",3
British Honduras,5
Sao Tome,5
Samana,1
Saint Ann's Bay,4
Maldonado,1
Lima,1
France,2
Cumingsberg,3
Campeche,2
Alagoas province,2
Newport,2
Port Maria,8
Canary Islands,4
Arcahaie,2
Senegambia and offshore Atlantic,5
Le Havre,2
French Africa (Goree or Senegal),8
Lagos,1
Rio Pongo,1
Nassau,9
Mauritius (Ile de France),2
Southeast Brazil,3
port_arrival,1
"Dutch Caribbean, colony unspecified",2
Bight of Biafra and Gulf of Guinea Islands,1
Ile de France,1
Cienfuegos,3
Cananeia,1
Malembo,1
Perth Amboy,2
Santo Tomas,1
Porto de Galinhas,2
Ilha de Paqueta,1
Ilha de Lobes,1
Ilha das Palmas,1
West Central Africa and St. Helena,1
Mole Saint Nicolas,1
Maceio,1
Bissagos,1
Stabroek,1
Portugal,1
Nevis,3
Kingston (Demerera),1
Elmina,1
Caribbean,1
Piscataqua,1
Goree,2
Amelia Island,2
Accra,1
Vigo,1
Tybee Island,2
Dois Rios,1
Princes Island,1
Seville,1
Puerto de Plata,1
Monte Christi,2
Honduras,1
Cape Verde Islands,1
Roanoke,1
Orinoko,1
Morant Bay,1
Cape Coast Castle,2
British Americas,2
Fernando Po,1
Brazil,1
Nuevitas,3
Bonny,1
Rio Grande do Norte,1
Caibarien,1
Benin,1
Santa Catarina,1
Guiana,1
Tortuga,1
Saint-Pierre,1
Potomac river,1
Porto Seguro,1
Mosquito Shore,1
Middelburg,1
Fort-Royale,1
Bristol,1
Borburata,1
Bacuranao,1
