Count,Source,Destination
1931,Gold Coast,Bahia
1256,Luanda,Rio de Janeiro
864,Africa,Havana
809,Africa,Barbados
756,Luanda,Pernambuco
735,Luanda,Bahia
689,Africa,Jamaica
505,Benguela,Rio de Janeiro
389,Cabinda,Rio de Janeiro
382,Africa,Cuba
298,Africa,Kingston
245,Africa,Americas
237,Bonny,Kingston
224,West Central Africa and St. Helena,Cap Francais
221,Africa,Saint John (Antigua)
194,Africa,St. Kitts
191,Benguela,Bahia
185,Gold Coast,Kingston
179,Whydah,Bahia
173,Mozambique,Rio de Janeiro
168,Africa,Santiago de Cuba
162,Malembo,Bahia
157,Africa,Bahia
156,Gold Coast,Barbados
149,West Central Africa and St. Helena,Kingston
146,Gold Coast,Jamaica
145,Anomabu,Kingston
144,Bissau,Maranhao
141,Africa,Martinique
137,West Central Africa and St. Helena,Cartagena
132,Whydah,Cap Francais
132,Gambia,Charleston
131,Africa,Charleston
127,Luanda,Veracruz
125,Cabinda,Bahia
123,Quilimane,Rio de Janeiro
123,Portuguese Guinea,Cartagena
121,Africa,Cartagena
120,Gold Coast,Pernambuco
115,Anomabu,Jamaica
114,Luanda,Cartagena
114,Bonny,Jamaica
113,Gold Coast,Suriname
111,Malembo,Cap Francais
110,Sao Tome,Bahia
109,Whydah,Martinique
106,West Central Africa and St. Helena,New Spain
103,Calabar,Kingston
103,Africa,Spanish Americas
101,West Central Africa and St. Helena,Jamaica
98,Cacheu,Maranhao
97,Bonny,Barbados
96,Whydah,Jamaica
96,Ambriz,Rio de Janeiro
95,"Lagos, Onim",Bahia
94,Gambia,Barbados
92,Whydah,Barbados
91,Congo North,Suriname
90,Calabar,Barbados
88,Cape Coast Castle,Barbados
88,Africa,Suriname
87,Cape Verde Islands,Cartagena
84,Africa,St. Thomas
79,Elmina,Suriname
77,Africa,Cap Francais
76,Bonny,Dominica
74,Africa,Rio de Janeiro
72,West Central Africa and St. Helena,Barbados
72,Anomabu,Barbados
72,Africa,Grenada
69,Elmina,Pernambuco
68,West Central Africa and St. Helena,Port-au-Prince
68,Cabinda,Cap Francais
68,Bonny,St. Kitts
68,Africa,Trinidad de Cuba
68,Africa,Buenos Aires
66,Gold Coast,Charleston
66,Calabar,Jamaica
65,West Central Africa and St. Helena,Martinique
65,Ardra,Curacao
65,Africa,"Rio de Janeiro, Sao Paulo, Santa Catarina"
62,Sao Tome,Havana
61,Gold Coast,Cap Francais
61,Africa,West Indies (colony unspecified)
59,Cape Coast Castle,Kingston
57,Princes Island,Bahia
57,"Lagos, Onim",Freetown
57,Bonny,Freetown
57,Africa,Matanzas
56,Windward Coast,Barbados
56,Cape Verde Islands,"Spanish Circum-Caribbean,unspecified"
55,West Central Africa and St. Helena,Charleston
55,Sierra Leone estuary,Barbados
